Membrane Name (abbreviation),Block A (x),Block B (1-x),Block A/B ratio,Polymer type,Conductivity Measuring Temperature [oC],Membrane Anion Conductivity [S/cm],Cluster No.,principal component 0_A,principal component 1_A,principal component 2_A,principal component 3_A,principal component 4_A,principal component 5_A,principal component 6_A,principal component 7_A,principal component 8_A,principal component 9_A,principal component 10_A,principal component 11_A,principal component 12_A,principal component 13_A,principal component 14_A,principal component 15_A,principal component 16_A,principal component 17_A,principal component 18_A,principal component 19_A,principal component 20_A,principal component 21_A,principal component 22_A,principal component 23_A,principal component 24_A,principal component 25_A,principal component 26_A,principal component 27_A,principal component 28_A,principal component 29_A,principal component 30_A,principal component 31_A,principal component 0_B,principal component 1_B,principal component 2_B,principal component 3_B,principal component 4_B,principal component 5_B,principal component 6_B,principal component 7_B,principal component 8_B,principal component 9_B,principal component 10_B,principal component 11_B,principal component 12_B,principal component 13_B,principal component 14_B,principal component 15_B,principal component 16_B,principal component 17_B,principal component 18_B,principal component 19_B,principal component 20_B,principal component 21_B,principal component 22_B,principal component 23_B,principal component 24_B,principal component 25_B,principal component 26_B,principal component 27_B,principal component 28_B,principal component 29_B,principal component 30_B,principal component 31_B
PAEK-PYR50,0.198,0.802,0.247,1,80,0.00318,4,6.203401475,-9.032784723,-11.33805816,-5.040613972,-0.258301855,-4.660094886,3.786110554,-3.747291825,2.031605155,-3.038357395,-0.346875151,7.855121169,-2.78997933,-1.97807165,-3.806899384,0.49725854,3.391325905,0.754047708,-2.601113081,-5.651316806,-2.726873232,-2.150872246,3.393430556,2.151314427,1.127978387,3.979969462,-2.832976962,-1.182059435,-1.234833499,-2.147481232,-1.558980184,-1.077862876,9.590277987,7.501758452,1.053517129,-6.073430173,0.918697152,-4.703558375,0.329450926,3.978505537,7.274123134,4.41047664,3.25767569,7.446389509,1.48334771,0.335668448,0.38759956,-2.596886034,-1.726532195,4.859885592,2.19720269,-6.177913278,4.171761405,1.35824269,-0.132992139,-2.356596093,2.770122873,-2.165748023,0.14198807,-0.018634125,0.429483908,1.839929567,0.879505298,-1.393054954
PAEK-PYR75,0.502,0.498,1.008,1,80,0.00616,4,6.203401475,-9.032784723,-11.33805816,-5.040613972,-0.258301855,-4.660094886,3.786110554,-3.747291825,2.031605155,-3.038357395,-0.346875151,7.855121169,-2.78997933,-1.97807165,-3.806899384,0.49725854,3.391325905,0.754047708,-2.601113081,-5.651316806,-2.726873232,-2.150872246,3.393430556,2.151314427,1.127978387,3.979969462,-2.832976962,-1.182059435,-1.234833499,-2.147481232,-1.558980184,-1.077862876,9.590277987,7.501758452,1.053517129,-6.073430173,0.918697152,-4.703558375,0.329450926,3.978505537,7.274123134,4.41047664,3.25767569,7.446389509,1.48334771,0.335668448,0.38759956,-2.596886034,-1.726532195,4.859885592,2.19720269,-6.177913278,4.171761405,1.35824269,-0.132992139,-2.356596093,2.770122873,-2.165748023,0.14198807,-0.018634125,0.429483908,1.839929567,0.879505298,-1.393054954
PAEK-PYR100,0.7581,0.2419,3.134,1,80,0.01026,4,6.203401475,-9.032784723,-11.33805816,-5.040613972,-0.258301855,-4.660094886,3.786110554,-3.747291825,2.031605155,-3.038357395,-0.346875151,7.855121169,-2.78997933,-1.97807165,-3.806899384,0.49725854,3.391325905,0.754047708,-2.601113081,-5.651316806,-2.726873232,-2.150872246,3.393430556,2.151314427,1.127978387,3.979969462,-2.832976962,-1.182059435,-1.234833499,-2.147481232,-1.558980184,-1.077862876,9.590277987,7.501758452,1.053517129,-6.073430173,0.918697152,-4.703558375,0.329450926,3.978505537,7.274123134,4.41047664,3.25767569,7.446389509,1.48334771,0.335668448,0.38759956,-2.596886034,-1.726532195,4.859885592,2.19720269,-6.177913278,4.171761405,1.35824269,-0.132992139,-2.356596093,2.770122873,-2.165748023,0.14198807,-0.018634125,0.429483908,1.839929567,0.879505298,-1.393054954
PAEK-PYR125,0.967,0.033,29.303,1,80,0.01156,4,6.203401475,-9.032784723,-11.33805816,-5.040613972,-0.258301855,-4.660094886,3.786110554,-3.747291825,2.031605155,-3.038357395,-0.346875151,7.855121169,-2.78997933,-1.97807165,-3.806899384,0.49725854,3.391325905,0.754047708,-2.601113081,-5.651316806,-2.726873232,-2.150872246,3.393430556,2.151314427,1.127978387,3.979969462,-2.832976962,-1.182059435,-1.234833499,-2.147481232,-1.558980184,-1.077862876,9.590277987,7.501758452,1.053517129,-6.073430173,0.918697152,-4.703558375,0.329450926,3.978505537,7.274123134,4.41047664,3.25767569,7.446389509,1.48334771,0.335668448,0.38759956,-2.596886034,-1.726532195,4.859885592,2.19720269,-6.177913278,4.171761405,1.35824269,-0.132992139,-2.356596093,2.770122873,-2.165748023,0.14198807,-0.018634125,0.429483908,1.839929567,0.879505298,-1.393054954
Im-PEEK-15,0.15,0.85,0.176,1,80,0.017,4,19.98279091,-4.336018939,-8.318037033,-1.324124833,7.910839245,-12.87866353,5.019679098,-4.819680325,-7.63375135,0.175703477,1.16683922,4.764717219,5.035441469,-4.239019671,-1.620535784,-2.888020171,0.256694236,1.475815075,-2.361096107,-3.908707843,-0.060383421,-1.310731992,-0.966270093,0.210874442,-1.040097875,3.710045698,4.162212932,3.391549206,8.567434629,2.293347698,0.602751607,0.897825481,4.093742712,7.022332947,-0.886185265,-5.98899281,-0.475491082,-4.762429084,-0.205754281,4.97246842,3.983595402,1.514758486,2.821592182,3.68220026,-1.756230287,-0.22398169,0.612501744,-1.33965642,-0.336135482,1.251936168,-0.423574779,-2.88942544,1.669883489,-0.443630179,0.173391073,-0.956681852,0.840547889,0.23020529,0.116536762,-1.123817932,0.450729102,-1.65412919,-0.793501431,2.044154104
Im-PEEK-10,0.1,0.9,0.111,1,80,0.028,4,19.98279091,-4.336018939,-8.318037033,-1.324124833,7.910839245,-12.87866353,5.019679098,-4.819680325,-7.63375135,0.175703477,1.16683922,4.764717219,5.035441469,-4.239019671,-1.620535784,-2.888020171,0.256694236,1.475815075,-2.361096107,-3.908707843,-0.060383421,-1.310731992,-0.966270093,0.210874442,-1.040097875,3.710045698,4.162212932,3.391549206,8.567434629,2.293347698,0.602751607,0.897825481,4.093742712,7.022332947,-0.886185265,-5.98899281,-0.475491082,-4.762429084,-0.205754281,4.97246842,3.983595402,1.514758486,2.821592182,3.68220026,-1.756230287,-0.22398169,0.612501744,-1.33965642,-0.336135482,1.251936168,-0.423574779,-2.88942544,1.669883489,-0.443630179,0.173391073,-0.956681852,0.840547889,0.23020529,0.116536762,-1.123817932,0.450729102,-1.65412919,-0.793501431,2.044154104
Im-PEEK-05,0.05,0.95,0.053,1,80,0.026,4,19.98279091,-4.336018939,-8.318037033,-1.324124833,7.910839245,-12.87866353,5.019679098,-4.819680325,-7.63375135,0.175703477,1.16683922,4.764717219,5.035441469,-4.239019671,-1.620535784,-2.888020171,0.256694236,1.475815075,-2.361096107,-3.908707843,-0.060383421,-1.310731992,-0.966270093,0.210874442,-1.040097875,3.710045698,4.162212932,3.391549206,8.567434629,2.293347698,0.602751607,0.897825481,4.093742712,7.022332947,-0.886185265,-5.98899281,-0.475491082,-4.762429084,-0.205754281,4.97246842,3.983595402,1.514758486,2.821592182,3.68220026,-1.756230287,-0.22398169,0.612501744,-1.33965642,-0.336135482,1.251936168,-0.423574779,-2.88942544,1.669883489,-0.443630179,0.173391073,-0.956681852,0.840547889,0.23020529,0.116536762,-1.123817932,0.450729102,-1.65412919,-0.793501431,2.044154104
BPPO-MDPA-4,0.428,0.572,0.748,1,80,0.06618,3,-8.797683485,-10.53118063,-7.917196707,-4.635041761,-0.990421146,0.362014627,-11.93818375,-10.07213161,-6.218372135,0.909151568,9.036351749,-1.111415606,-7.158192237,5.360494744,-0.453307465,8.419045189,-8.295603783,3.573548187,3.533071421,-5.120525719,-3.059507313,0.168979178,0.397585817,-1.442941561,-2.121960161,0.381897752,0.927178948,-0.905155913,-1.459915624,0.109447856,0.461912755,2.251847411,-21.57956285,-8.016275003,-14.86475323,1.414641079,1.758402551,3.229841271,15.09226716,2.161733957,-1.373486061,-6.94655328,2.689108912,4.836437421,5.258045054,-2.174143829,3.567731732,5.630511493,9.097378123,1.509136938,-0.589568183,1.444857774,0.394577122,0.319267735,-0.991661728,2.135314424,2.465134006,-2.445943507,-1.522111453,1.366862257,-0.692108317,0.019707919,-2.341137057,0.009093997
BPPO-MDPA-3,0.3135,0.6865,0.4567,1,80,0.06076,3,-8.797683485,-10.53118063,-7.917196707,-4.635041761,-0.990421146,0.362014627,-11.93818375,-10.07213161,-6.218372135,0.909151568,9.036351749,-1.111415606,-7.158192237,5.360494744,-0.453307465,8.419045189,-8.295603783,3.573548187,3.533071421,-5.120525719,-3.059507313,0.168979178,0.397585817,-1.442941561,-2.121960161,0.381897752,0.927178948,-0.905155913,-1.459915624,0.109447856,0.461912755,2.251847411,-21.57956285,-8.016275003,-14.86475323,1.414641079,1.758402551,3.229841271,15.09226716,2.161733957,-1.373486061,-6.94655328,2.689108912,4.836437421,5.258045054,-2.174143829,3.567731732,5.630511493,9.097378123,1.509136938,-0.589568183,1.444857774,0.394577122,0.319267735,-0.991661728,2.135314424,2.465134006,-2.445943507,-1.522111453,1.366862257,-0.692108317,0.019707919,-2.341137057,0.009093997
BPPO-MDPA-2,0.2266,0.7734,0.293,1,80,0.05385,3,-8.797683485,-10.53118063,-7.917196707,-4.635041761,-0.990421146,0.362014627,-11.93818375,-10.07213161,-6.218372135,0.909151568,9.036351749,-1.111415606,-7.158192237,5.360494744,-0.453307465,8.419045189,-8.295603783,3.573548187,3.533071421,-5.120525719,-3.059507313,0.168979178,0.397585817,-1.442941561,-2.121960161,0.381897752,0.927178948,-0.905155913,-1.459915624,0.109447856,0.461912755,2.251847411,-21.57956285,-8.016275003,-14.86475323,1.414641079,1.758402551,3.229841271,15.09226716,2.161733957,-1.373486061,-6.94655328,2.689108912,4.836437421,5.258045054,-2.174143829,3.567731732,5.630511493,9.097378123,1.509136938,-0.589568183,1.444857774,0.394577122,0.319267735,-0.991661728,2.135314424,2.465134006,-2.445943507,-1.522111453,1.366862257,-0.692108317,0.019707919,-2.341137057,0.009093997
